count,taxon.id,taxon.rank,taxon.rank_level,taxon.iconic_taxon_id,taxon.ancestor_ids,taxon.is_active,taxon.name,taxon.parent_id,taxon.ancestry,taxon.extinct,taxon.taxon_changes_count,taxon.taxon_schemes_count,taxon.observations_count,taxon.current_synonymous_taxon_ids,taxon.atlas_id,taxon.complete_species_count,taxon.wikipedia_url,taxon.iconic_taxon_name,taxon.preferred_common_name,taxon.preferred_establishment_means,taxon.default_photo.id,taxon.default_photo.license_code,taxon.default_photo.attribution,taxon.default_photo.url,taxon.default_photo.flags,taxon.default_photo.attribution_name,taxon.default_photo.square_url,taxon.default_photo.medium_url,taxon.default_photo.original_dimensions.height,taxon.default_photo.original_dimensions.width,taxon.flag_counts.resolved,taxon.flag_counts.unresolved,taxon.establishment_means.id,taxon.establishment_means.establishment_means,taxon.establishment_means.place.id,taxon.establishment_means.place.name,taxon.establishment_means.place.display_name,taxon.establishment_means.place.ancestry,taxon.conservation_status.id,taxon.conservation_status.source_id,taxon.conservation_status.user_id,taxon.conservation_status.authority,taxon.conservation_status.status,taxon.conservation_status.status_name,taxon.conservation_status.geoprivacy,taxon.conservation_status.iucn,taxon.conservation_status.place.id,taxon.conservation_status.place.name,taxon.conservation_status.place.display_name,taxon.conservation_status.place.ancestry,taxon.conservation_status.place_id
11038,52078,species,10,47126,,TRUE,Richardia grandiflora,52079,48460/47126/211194/47125/47124/47363/47693/788064/788088/52079,FALSE,0,2,11933,NA,NA,NA,https://en.wikipedia.org/wiki/Richardia_grandiflora,Plantae,largeflower Mexican clover,introduced,18320951,NA,"(c) Vanessa Trujillo, all rights reserved, uploaded by Vanessa Trujillo",https://static.inaturalist.org/photos/18320951/square.jpg,,Vanessa Trujillo,https://static.inaturalist.org/photos/18320951/square.jpg,https://static.inaturalist.org/photos/18320951/medium.jpg,800,600,0,0,58263,introduced,21,Florida,"Florida, US",97394/1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9004,130872,species,10,47126,,TRUE,Schinus terebinthifolia,57355,48460/47126/211194/47125/47124/47729/48874/707807/57355,FALSE,2,1,26774,NA,NA,NA,https://en.wikipedia.org/wiki/Schinus_terebinthifolia,Plantae,Brazilian pepper,introduced,57240422,cc-by-nc-sa,"(c) Mary Keim, some rights reserved (CC BY-NC-SA)",https://inaturalist-open-data.s3.amazonaws.com/photos/57240422/square.jpg,,Mary Keim,https://inaturalist-open-data.s3.amazonaws.com/photos/57240422/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/57240422/medium.jpg,1365,2048,0,1,3308180,introduced,21,Florida,"Florida, US",97394/1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7222,127638,species,10,47126,,TRUE,Urena lobata,127639,48460/47126/211194/47125/47124/48796/48797/860115/860846/127639,FALSE,1,3,15717,NA,NA,NA,http://en.wikipedia.org/wiki/Urena_lobata,Plantae,Caesar weed,introduced,116895996,cc-by-sa,"(c) Ong Jyh Seng, some rights reserved (CC BY-SA), uploaded by Ong Jyh Seng",https://inaturalist-open-data.s3.amazonaws.com/photos/116895996/square.jpeg,,Ong Jyh Seng,https://inaturalist-open-data.s3.amazonaws.com/photos/116895996/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/116895996/medium.jpeg,1536,2048,1,0,2903679,introduced,21,Florida,"Florida, US",97394/1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6102,169171,species,10,47126,,TRUE,Spermacoce verticillata,131832,48460/47126/211194/47125/47124/47363/47693/788064/788088/131832,FALSE,1,3,9278,NA,NA,NA,https://en.wikipedia.org/wiki/Spermacoce_verticillata,Plantae,shrubby false buttonweed,introduced,2690565,NA,"(c) Jay Keller, all rights reserved, uploaded by Jay Keller",https://static.inaturalist.org/photos/2690565/square.jpg,,Jay Keller,https://static.inaturalist.org/photos/2690565/square.jpg,https://static.inaturalist.org/photos/2690565/medium.jpg,1536,2048,0,0,7103403,introduced,21,Florida,"Florida, US",97394/1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5987,246102,species,10,47126,,TRUE,Sphagneticola trilobata,246103,48460/47126/211194/47125/47124/47605/47604/632790/605446/639448/246103,FALSE,2,3,37178,NA,NA,NA,http://en.wikipedia.org/wiki/Sphagneticola_trilobata,Plantae,trailing daisy,introduced,43898069,cc0,"no rights reserved, uploaded by 葉子",https://inaturalist-open-data.s3.amazonaws.com/photos/43898069/square.jpeg,,葉子,https://inaturalist-open-data.s3.amazonaws.com/photos/43898069/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/43898069/medium.jpeg,1536,2048,0,1,3789712,introduced,21,Florida,"Florida, US",97394/1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5036,61369,species,10,47126,,TRUE,Momordica charantia,61370,48460/47126/211194/47125/47124/71281/48620/1340053/61370,FALSE,0,4,22496,NA,NA,NA,http://en.wikipedia.org/wiki/Momordica_charantia,Plantae,Bitter Melon,introduced,98698430,cc-by-nc,"(c) miriamff, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/98698430/square.jpeg,,miriamff,https://inaturalist-open-data.s3.amazonaws.com/photos/98698430/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/98698430/medium.jpeg,2048,1536,3,0,6658868,introduced,21,Florida,"Florida, US",97394/1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4590,62924,species,10,47126,,TRUE,Catharanthus roseus,62926,48460/47126/211194/47125/47124/47363/47362/487323/632390/632395/62926,FALSE,2,6,57633,NA,127540,NA,http://en.wikipedia.org/wiki/Catharanthus_roseus,Plantae,Madagascar Periwinkle,introduced,54935295,cc-by-nc,"(c) Desita Dyah D A Kusumaningrum, some rights reserved (CC BY-NC), uploaded by Desita Dyah D A Kusumaningrum",https://inaturalist-open-data.s3.amazonaws.com/photos/54935295/square.jpeg,,Desita Dyah D A Kusumaningrum,https://inaturalist-open-data.s3.amazonaws.com/photos/54935295/square.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/54935295/medium.jpeg,1365,2048,1,0,3743900,introduced,21,Florida,"Florida, US",97394/1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4516,51768,species,10,47126,,TRUE,Gaillardia pulchella,51769,48460/47126/211194/47125/47124/47605/47604/632790/632795/635184/51769,FALSE,1,5,57099,NA,NA,NA,http://en.wikipedia.org/wiki/Gaillardia_pulchella,Plantae,firewheel,introduced,75102458,cc-by-nc,"(c) TexasEagle, some rights reserved (CC BY-NC)",https://inaturalist-open-data.s3.amazonaws.com/photos/75102458/square.jpg,,TexasEagle,https://inaturalist-open-data.s3.amazonaws.com/photos/75102458/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/75102458/medium.jpg,731,1024,2,0,58259,introduced,21,Florida,"Florida, US",97394/1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3940,121287,species,10,47126,,TRUE,Emilia sonchifolia,121288,48460/47126/211194/47125/47124/47605/47604/632790/568270/901794/121288,FALSE,0,4,10642,NA,NA,NA,http://en.wikipedia.org/wiki/Emilia_sonchifolia,Plantae,lilac tasselflower,introduced,11022639,cc-by-nc,"(c) Philip Thomas, some rights reserved (CC BY-NC), uploaded by Philip Thomas",https://inaturalist-open-data.s3.amazonaws.com/photos/11022639/square.jpg,,Philip Thomas,https://inaturalist-open-data.s3.amazonaws.com/photos/11022639/square.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/11022639/medium.jpg,721,721,0,0,6834338,introduced,21,Florida,"Florida, US",97394/1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3703,84537,species,10,47126,,TRUE,Dioscorea bulbifera,82692,48460/47126/211194/47125/47163/51878/71501/82692,FALSE,0,3,9014,NA,NA,NA,http://en.wikipedia.org/wiki/Dioscorea_bulbifera,Plantae,air potato,introduced,135086570,NA,"(c) Paurava Thakore, all rights reserved, uploaded by Paurava Thakore",https://static.inaturalist.org/photos/135086570/square.jpeg,,Paurava Thakore,https://static.inaturalist.org/photos/135086570/square.jpeg,https://static.inaturalist.org/photos/135086570/medium.jpeg,2048,1536,1,0,2898380,introduced,21,Florida,"Florida, US",97394/1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
