ParkID,Pollinators,Angiosperms all,Angiosperms Native,Angiosperms Non-native,pollinator_obs,angiosperm_obs,native_angiosperm_obs,nonnative_angiosperm_obs,lon,lat,urban_area
07597-0703,42,128,105,23,92,343,294,49,-81.353969,24.669865,"Big Pine Key, FL"
08974-0010,31,84,57,27,79,179,118,61,-81.7661613879,26.1157005234,"Bonita Springs--Estero, FL"
08974-0025,44,94,59,35,322,157,90,67,-81.7525003,26.26374507,"Bonita Springs--Estero, FL"
08974-0030,33,122,76,46,91,407,292,115,-81.7885982018,26.1747106628,"Bonita Springs--Estero, FL"
1204925-0001,66,196,146,50,133,786,653,133,-82.4674823508,27.2965733009,"Bradenton--Sarasota--Venice, FL"
1207300-0028,28,116,62,54,104,470,235,235,-80.1264799946,26.3448161166,"Miami--Fort Lauderdale, FL"
1207875-0049,42,82,63,19,83,417,359,58,-80.0707638333,26.4960633333,"Miami--Fort Lauderdale, FL"
1207975-0008,17,51,46,5,74,233,219,14,-82.6886308193,27.4521038919,"Bradenton--Sarasota--Venice, FL"
1210275-0027,50,105,70,35,232,326,248,78,-81.9922588673,26.5441020672,"Cape Coral, FL"
1213275-0029,29,147,94,53,60,559,381,178,-80.1976848,26.3241238,"Miami--Fort Lauderdale, FL"
1213275-0032,68,186,107,79,370,508,273,235,-80.1706916667,26.2680133333,"Miami--Fort Lauderdale, FL"
1214250-0030,56,240,152,88,213,1469,840,629,-80.2756128275,25.6803755276,"Miami--Fort Lauderdale, FL"
1214250-0032,48,115,76,39,436,274,182,92,-80.2718455957,25.6767765005,"Miami--Fort Lauderdale, FL"
1214400-0004,23,38,18,20,53,55,25,30,-80.293875,26.2690194444,"Miami--Fort Lauderdale, FL"
1214400-0032,36,67,44,23,74,459,350,109,-80.2152381185,26.2753981769,"Miami--Fort Lauderdale, FL"
1214412-0005,78,188,134,54,451,1156,936,220,-80.3099691311,25.7396868397,"Miami--Fort Lauderdale, FL"
1216335-0012,44,176,131,45,195,1382,1150,232,-80.1201028333,26.0370138333,"Miami--Fort Lauderdale, FL"
1216475-0046,60,203,115,88,305,1673,943,730,-80.27650352,26.0744593,"Miami--Fort Lauderdale, FL"
1216475-0055,33,37,14,23,88,66,20,46,-80.2986643185,26.072459165,"Miami--Fort Lauderdale, FL"
1216475-0058,27,102,62,40,77,286,144,142,-80.2455833333,26.0523083333,"Miami--Fort Lauderdale, FL"
1216475-0060,33,113,52,61,80,363,143,220,-80.2780315094,26.096631065,"Miami--Fort Lauderdale, FL"
1216475-0064,93,213,135,78,371,1424,998,426,-80.32401812,26.07360607,"Miami--Fort Lauderdale, FL"
1216475-0074,27,70,45,25,76,127,81,46,-80.3468678537,26.0650797581,"Miami--Fort Lauderdale, FL"
1216725-0001,94,162,96,66,684,513,300,213,-80.1560582651,26.311793053,"Miami--Fort Lauderdale, FL"
1216725-0002,21,68,49,19,55,208,148,60,-80.13297217,26.28668667,"Miami--Fort Lauderdale, FL"
1219206-0001,41,133,94,39,76,544,403,141,-82.709205,28.0937028333,"Tampa--St. Petersburg, FL"
1224000-0013,58,201,141,60,300,1744,1431,313,-80.186882168,26.2292142516,"Miami--Fort Lauderdale, FL"
1224000-0033,19,79,58,21,58,278,229,49,-80.1787973196,26.0899115866,"Miami--Fort Lauderdale, FL"
1224000-0125,27,117,57,60,88,251,105,146,-80.1505445,26.0824138333,"Miami--Fort Lauderdale, FL"
1224000-0149,42,217,148,69,309,1656,1374,282,-80.1044692993,26.1394367218,"Miami--Fort Lauderdale, FL"
12251-7577,220,277,199,78,992,2826,2340,486,-82.3688685894,29.6346879759,"Gainesville, FL"
1225175-0003,33,92,75,17,60,281,182,99,-82.3337944444,29.6218083333,"Gainesville, FL"
1225175-0004,71,147,117,30,210,430,363,67,-82.3082297439,29.620830806,"Gainesville, FL"
1225175-0010,46,95,70,25,65,280,204,76,-82.3943,29.6611,"Gainesville, FL"
1225175-0020,77,195,141,54,198,925,661,264,-82.3641562834,29.6607763542,"Gainesville, FL"
1225175-0047,59,100,91,9,92,228,208,20,-82.4040216667,29.6373866667,"Gainesville, FL"
1225175-0059,63,126,113,13,94,620,596,24,-82.3945457955,29.704870563,"Gainesville, FL"
1225175-0060,62,71,44,27,121,107,65,42,-82.3703968,29.6362113,"Gainesville, FL"
1225175-0062,58,94,45,49,180,152,67,85,-82.4081970659,29.6122498205,"Gainesville, FL"
1225175-0066,30,120,81,39,69,552,413,139,-82.3229141235,29.6409244537,"Gainesville, FL"
1226100-0003,19,99,79,20,65,419,319,100,-80.3131964431,25.6992237875,"Miami--Fort Lauderdale, FL"
1230000-0061,33,126,89,37,78,249,171,78,-80.2869720459,25.8924789429,"Miami--Fort Lauderdale, FL"
1233150-0001,32,120,88,32,80,596,521,75,-80.0558716667,26.5713216667,"Miami--Fort Lauderdale, FL"
1235000-0174,109,481,448,33,279,2564,2494,70,-81.5388333333,30.1235445,"Jacksonville, FL"
